POSITION,PLAYER_NAME
 PG,Stephen Curry
 PG,Chris Paul
 PG,Russell Westbrook
 PG,John Wall
 SF,Kevin Durant
 SG,James Harden
 SF,LeBron James
 PG,Kyle Lowry
 PF,Blake Griffin
 SF,Tobias Harris
 SF,Jimmy Butler
 SF,Kawhi Leonard
 SG,Klay Thompson
 PG,Kemba Walker
 SF,Gordon Hayward
 PG,Mike Conley
 PG,Kyrie Irving
 SF,Khris Middleton
 SG,Paul George
 PF,Paul Millsap
 PG,Damian Lillard
 PF,Kevin Love
 PF,Al Horford
 C,Nikola Vucevic
 SF,DeMar DeRozan
 SG,CJ McCollum
 C,Joel Embiid
 SF,Andrew Wiggins
 C,Nikola Jokic
 SG,Devin Booker
 SG,D'Angelo Russell
 C,Karl-Anthony Towns
 PF,Kristaps Porzingis
 SF,Otto Porter Jr.
 SG,Bradley Beal
 C,Andre Drummond
 PF,Anthony Davis
 C,Hassan Whiteside
 SG,Jrue Holiday
 PF,LaMarcus Aldridge
 PG,Stephen Curry
 PG,Chris Paul
 SF,LeBron James
 PG,Russell Westbrook
 PF,Blake Griffin
 SF,Gordon Hayward
 PG,Kyle Lowry
 SG,Paul George
 PG,Mike Conley
 SG,James Harden
 SF,Kevin Durant
 PF,Paul Millsap
 PF,Al Horford
 PG,Damian Lillard
 SF,DeMar DeRozan
 SF,Otto Porter Jr.
 SG,Jrue Holiday
 SG,CJ McCollum
 C,Joel Embiid
 SF,Andrew Wiggins
 SG,Bradley Beal
 PF,Anthony Davis
 C,Andre Drummond
 C,Hassan Whiteside
 C,Nikola Jokic
 C,Steven Adams
 PF,Giannis Antetokounmpo
 C,Marc Gasol
 PF,Kevin Love
 SF,Harrison Barnes
 SF,Chandler Parsons
 SG,Nicolas Batum
 C,Rudy Gobert
 SF,Kawhi Leonard
 C,DeAndre Jordan
 PF,LaMarcus Aldridge
 C,Serge Ibaka
 PF,Aaron Gordon
 PF,Danilo Gallinari
 SG,Victor Oladipo
 PG,Stephen Curry
 PF,Blake Griffin
 PF,Paul Millsap
 PG,Kyle Lowry
 SF,Gordon Hayward
 PG,Mike Conley
 PG,Russell Westbrook
 SG,James Harden
 SF,DeMar DeRozan
 PF,Al Horford
 PF,Carmelo Anthony
 PG,Damian Lillard
 SF,Otto Porter Jr.
 SG,Jrue Holiday
 SG,Bradley Beal
 C,Andre Drummond
 C,Hassan Whiteside
 C,Joel Embiid
 PG,Chris Paul
 PF,Giannis Antetokounmpo
 PF,Kevin Love
 SG,Nicolas Batum
 SG,CJ McCollum
 C,Dwight Howard
 PF,Anthony Davis
 SF,Harrison Barnes
 SF,Chandler Parsons
 C,Brook Lopez
 C,Marc Gasol
 C,DeAndre Jordan
 C,Steven Adams
 C,Rudy Gobert
 C,Serge Ibaka
 PF,LaMarcus Aldridge
 SG,Victor Oladipo
 PF,Danilo Gallinari
 PF,Ryan Anderson
 SG,Paul George
 SF,Jimmy Butler
 SG,Tyler Johnson
 SF,LeBron James
 PG,Mike Conley
 SF,DeMar DeRozan
 PF,Al Horford
 SF,Kevin Durant
 SG,James Harden
 PG,Russell Westbrook
 F,Dirk Nowitzki
 PF,Carmelo Anthony
 PG,Damian Lillard
 PF,Chris Bosh
 G,Dwyane Wade
 C,Dwight Howard
 PG,Chris Paul
 SG,Bradley Beal
 SF,Harrison Barnes
 C,Hassan Whiteside
 PF,Anthony Davis
 C,Andre Drummond
 SF,Chandler Parsons
 PG,Derrick Rose
 C,Marc Gasol
 C,DeAndre Jordan
 C,Brook Lopez
 PF,Kevin Love
 SG,Nicolas Batum
 PF,LaMarcus Aldridge
 PF,Blake Griffin
 PF,Paul Millsap
 PF,Ryan Anderson
 G,Allen Crabbe
 SG,Paul George
 F,Luol Deng
 PG,Kyrie Irving
 SF,Kawhi Leonard
 SF,Jimmy Butler
 SF,Tobias Harris
 C,Greg Monroe
 SG,Wesley Matthews
 C,Enes Kanter
 SF,Kobe Bryant
 SF,LeBron James
 PF,Carmelo Anthony
 C,Dwight Howard
 PF,Chris Bosh
 PG,Chris Paul
 SF,Kevin Durant
 PG,Derrick Rose
 G,Dwyane Wade
 PF,LaMarcus Aldridge
 C,DeAndre Jordan
 C,Brook Lopez
 PF,Kevin Love
 C,Marc Gasol
 PF,Blake Griffin
 PF,Paul Millsap
 SG,Paul George
 PG,Russell Westbrook
 PG,Kyrie Irving
 C,Greg Monroe
 SG,Wesley Matthews
 SF,Jimmy Butler
 SF,Kawhi Leonard
 C,Enes Kanter
 SF,Tobias Harris
 PG,John Wall
 C,DeMarcus Cousins
 SG,James Harden
 C,Roy Hibbert
 SG,Eric Gordon
 SG,Klay Thompson
 SF,Gordon Hayward
 SF,Chandler Parsons
 PG,Goran Dragic
 SF,Khris Middleton
 PF,Draymond Green
 C,Tristan Thompson
 PF,Danilo Gallinari
 PG,Reggie Jackson
 C,Andrew Bogut
 SF,Kobe Bryant
 G,Joe Johnson
 PF,Carmelo Anthony
 C,Dwight Howard
 PF,Chris Bosh
 SF,LeBron James
 PG,Chris Paul
 PG,Deron Williams
 SF,Rudy Gay
 SF,Kevin Durant
 PG,Derrick Rose
 PF,Blake Griffin
 F,Zach Randolph
 PF,LaMarcus Aldridge
 SG,Paul George
 C,Marc Gasol
 PF,Kevin Love
 C,Brook Lopez
 PG,Russell Westbrook
 PF,David Lee
 G,Dwyane Wade
 SG,Eric Gordon
 C,Roy Hibbert
 C,Tyson Chandler
 PG,John Wall
 C,DeMarcus Cousins
 SF,Gordon Hayward
 SG,James Harden
 SF,Chandler Parsons
 C,Al Jefferson
 PG,Eric Bledsoe
 C,Nene Hilario
 C,Andrew Bogut
 C,Derrick Favors
 PG,Rajon Rondo
 C,Joakim Noah
 G,Tony Parker
 C,Serge Ibaka
 SG,Andre Iguodala
 C,Nikola Pekovic
 SF,Kobe Bryant
 F,Dirk Nowitzki
 C,Amar'e Stoudemire
 G,Joe Johnson
 PF,Carmelo Anthony
 C,Dwight Howard
 PF,Pau Gasol
 PF,Chris Bosh
 SF,LeBron James
 G,Dwyane Wade
 PG,Chris Paul
 PG,Deron Williams
 F,Zach Randolph
 SF,Rudy Gay
 SF,Kevin Durant
 PG,Derrick Rose
 PF,Blake Griffin
 SF,Paul Pierce
 PF,Carlos Boozer
 PF,LaMarcus Aldridge
 C,Marc Gasol
 C,Brook Lopez
 PG,Russell Westbrook
 PF,Kevin Love
 C,Emeka Okafor
 SG,Eric Gordon
 C,Roy Hibbert
 F,Luol Deng
 C,Tyson Chandler
 C,Andrew Bogut
 PF,David Lee
 SG,James Harden
 C,Al Jefferson
 PF,Josh Smith
 C,Nene Hilario
 SG,Andre Iguodala
