Salary,Year,Player,Position
40231758,2020,Stephen Curry, PG
38506482,2020,Chris Paul, PG
38506482,2020,Russell Westbrook, PG
38199000,2020,John Wall, PG
38199000,2020,Kevin Durant, SF
38199000,2020,James Harden, SG
37436858,2020,LeBron James, SF
34996296,2020,Kyle Lowry, PG
34449964,2020,Blake Griffin, PF
32742000,2020,Tobias Harris, SF
32742000,2020,Jimmy Butler, SF
32742000,2020,Kawhi Leonard, SF
32742000,2020,Klay Thompson, SG
32742000,2020,Kemba Walker, PG
32700690,2020,Gordon Hayward, SF
32511624,2020,Mike Conley, PG
31742000,2020,Kyrie Irving, PG
30603448,2020,Khris Middleton, SF
30560700,2020,Paul George, SG
30350000,2020,Paul Millsap, PF
29802321,2020,Damian Lillard, PG
28942830,2020,Kevin Love, PF
28000000,2020,Al Horford, PF
28000000,2020,Nikola Vucevic, C
27739975,2020,DeMar DeRozan, SF
27556959,2020,CJ McCollum, SG
27504630,2020,Joel Embiid, C
27504630,2020,Andrew Wiggins, SF
27504630,2020,Nikola Jokic, C
27285000,2020,Devin Booker, SG
27285000,2020,D'Angelo Russell, SG
27285000,2020,Karl-Anthony Towns, C
27285000,2020,Kristaps Porzingis, PF
27250575,2020,Otto Porter Jr., SF
27093019,2020,Bradley Beal, SG
27093019,2020,Andre Drummond, C
27093018,2020,Anthony Davis, PF
27093017,2020,Hassan Whiteside, C
26231111,2020,Jrue Holiday, SG
26000000,2020,LaMarcus Aldridge, PF
25842697,2020,Steven Adams, C
25842697,2020,Giannis Antetokounmpo, PF
25595700,2020,Marc Gasol, C
25565217,2020,Nicolas Batum, SG
25102511,2020,Chandler Parsons, SF
24147727,2020,Harrison Barnes, SF
23271604,2020,Serge Ibaka, C
23241573,2020,Rudy Gobert, C
22615559,2020,Danilo Gallinari, PF
21000000,2020,Victor Oladipo, SG
20025127,2020,Tim Hardaway Jr., SG
20000000,2020,Malcolm Brogdon, PG
19894737,2020,Terry Rozier, PG
19863636,2020,Aaron Gordon, PF
19500000,2020,Zach LaVine, PG
19269662,2020,Kent Bazemore, SG
19217900,2020,Goran Dragic, PG
19000000,2020,Jeff Teague, PG
18606556,2020,Evan Turner, SG
18539130,2020,Draymond Green, PF
18539130,2020,Tristan Thompson, C
18500000,2020,Allen Crabbe, G
18000000,2020,Julius Randle, PF
18000000,2020,Myles Turner, C
17839286,2020,Gary Harris, SG
17650000,2020,Derrick Favors, C
17185185,2020,Andre Iguodala, SG
17150000,2020,Evan Fournier, SG
17000000,2020,Bismack Biyombo, C
17000000,2020,Bojan Bogdanovic, SF
16720000,2020,Timofey Mozgov, C
16229213,2020,Gorgui Dieng, C
16200000,2020,Ricky Rubio, PG
16000000,2020,Jonas Valanciunas, C
15680000,2020,JR Smith, SG
15643750,2020,Brandon Knight, PG
15625000,2020,Kelly Oubre Jr., SF
15625000,2020,Eric Bledsoe, PG
15500000,2020,Dennis Schroder, PG
15450051,2020,Ian Mahinmi, C
15349400,2020,James Johnson, PF
15000000,2020,Bobby Portis, PF
15000000,2020,Marcus Morris Sr., SF
14896552,2020,Clint Capela, C
14651700,2020,Luke Babbitt, F
14634146,2020,Danny Green, SG
14500000,2020,Rudy Gay, SF
14471910,2020,Cody Zeller, C
14057730,2020,Eric Gordon, SG
14041096,2020,Mason Plumlee, PF
13565218,2020,Marcin Gortat, C
13486300,2020,JJ Redick, SG
13437500,2020,Jordan Clarkson, PG
13333333,2020,Dewayne Dedmon, C
13125000,2020,Jusuf Nurkic, C
13000000,2020,Justise Winslow, SF
12900000,2020,Thaddeus Young, PF
12776786,2020,Will Barton, SF
12759670,2020,Courtney Lee, SG
12758781,2020,Solomon Hill, SF
12727273,2020,Larry Nance Jr., PF
12667885,2020,Kelly Olynyk, PF
12553571,2020,Marcus Smart, PG
12500000,2020,Miles Plumlee, C
12500000,2020,Terrence Ross, SG
12500000,2020,Nikola Mirotic, F
12428571,2020,Patty Mills, PG
12400000,2020,Tyreke Evans, G
12345680,2020,Patrick Beverley, PG
12195122,2020,Trevor Ariza, SF
12093023,2020,Brook Lopez, C
12000000,2020,Cory Joseph, PG
11954546,2020,Joe Ingles, SG
11692308,2020,Zach Randolph, F
11392857,2020,Tony Snell, SF
11301219,2020,Robert Covington, PF
11286516,2020,Meyers Leonard, C
11286516,2020,Omer Asik, C
11011234,2020,Maurice Harkless, SF
10810000,2020,T.J. Warren, SF
10740740,2020,Andre Roberson, SG
10605600,2020,Spencer Dinwiddie, PG
10500000,2020,Jeremy Lamb, SG
10259375,2020,Dwight Powell, C
10116576,2020,Norman Powell, SG
10116576,2020,Josh Richardson, SG
10000000,2020,Darren Collison, G
10000000,2020,Tomas Satoransky, SG
9881598,2020,DeAndre Jordan, C
9757440,2020,Zion Williamson, SF
9745200,2020,Markelle Fultz, PG
9732396,2020,John Henson, PF
9607500,2020,Matthew Dellavedova, PG
9600000,2020,Dante Exum, PG
9562920,2020,Deandre Ayton, C
9473684,2020,Delon Wright, PG
9346153,2020,Fred VanVleet, SG
9346153,2020,Jerami Grant, PF
9258000,2020,Tyus Jones, PG
9258000,2020,Al-Farouq Aminu, PF
9133907,2020,George Hill, PG
9073050,2020,Kyle Anderson, SF
9000000,2020,Taj Gibson, C
8730240,2020,Ja Morant, PG
8719320,2020,Lonzo Ball, PG
8664928,2020,E'Twaun Moore, SG
8556120,2020,Marvin Bagley III, PF
8529386,2020,Bogdan Bogdanovic, SG
8349039,2020,P.J. Tucker, PF
8333333,2020,C.J. Miles, SG
8156500,2020,Cristiano Felicio, PF
8113930,2020,Ben Simmons, PG
8089282,2020,Kentavious Caldwell-Pope, SG
8000000,2020,Thomas Bryant, C
8000000,2020,Elfrid Payton, PG
8000000,2020,Wayne Ellington, SG
8000000,2020,Lou Williams, SG
8000000,2020,Maxi Kleber, PF
7839960,2020,RJ Barrett, SG
7830000,2020,Jayson Tatum, PF
7815533,2020,Jae Crowder, SF
7683360,2020,Luka Doncic, SG
7666667,2020,Joe Harris, SF
7464912,2020,Darrell Arthur, F
7461380,2020,Seth Curry, SG
7333333,2020,Doug McDermott, SF
7333333,2020,Langston Galloway, SG
7317073,2020,Derrick Rose, PG
7265485,2020,Brandon Ingram, SF
7250000,2020,D.J. Augustin, PG
7119650,2020,Lance Thomas, SF
7068360,2020,De'Andre Hunter, SF
7059480,2020,Josh Jackson, SG
7000000,2020,Davis Bertans, SF
7000000,2020,Ersan Ilyasova, PF
7000000,2020,Darius Miller, SF
6927480,2020,Jaren Jackson Jr., PF
6825000,2020,Nemanja Bjelica, PF
6534829,2020,Jaylen Brown, SG
6500000,2020,Jabari Parker, PF
6481482,2020,Ivica Zubac, C
6400920,2020,Darius Garland, PG
6392760,2020,De'Aaron Fox, PG
6300000,2020,Milos Teodosic, G
6273000,2020,Trae Young, PG
6134520,2020,Wesley Johnson, F
6000000,2020,Ish Smith, PG
6000000,2020,Montrezl Harrell, PF
5846154,2020,Marco Belinelli, SG
5813640,2020,Jarrett Culver, SG
5806440,2020,Jonathan Isaac, PF
5718000,2020,Rodney Hood, SF
5700000,2020,Jonathon Simmons, G
5697600,2020,Mo Bamba, C
5500000,2020,Trey Lyles, C
5455236,2020,Alex Abrines, G
5453280,2020,Aron Baynes, C
5450000,2020,Jason Smith, F
5348007,2020,Kris Dunn, PG
5307120,2020,Coby White, PG
5300400,2020,Lauri Markkanen, PF
5285394,2020,Alexis Ajinca, C
5201400,2020,Wendell Carter Jr., C
5000000,2020,Dirk Nowitzki, F
5000000,2020,Daniel Theis, C
4996000,2020,Kyle Singler, F
4862040,2020,Jaxson Hayes, C
4861208,2020,Buddy Hield, SG
4855800,2020,Frank Ntilikina, PG
4807693,2020,Rodney McGruder, SG
4767000,2020,Ed Davis, C
4767000,2020,Richaun Holmes, C
4767000,2020,Frank Kaminsky, C
4767000,2020,Mike Scott, PF
4767000,2020,Garrett Temple, SG
4767000,2020,Robin Lopez, C
4767000,2020,Avery Bradley, PG
4767000,2020,JaMychal Green, PF
4767000,2020,Justin Holiday, SF
4767000,2020,Enes Kanter, C
4764960,2020,Collin Sexton, PG
4469160,2020,Rui Hachimura, PF
4464226,2020,Kevon Looney, PF
4463640,2020,Dennis Smith Jr., PG
4444746,2020,Jamal Murray, PG
4380120,2020,Kevin Knox II, SF
4320500,2020,Luc Mbah a Moute, PF
4245720,2020,Cam Reddish, SG
4240200,2020,Zach Collins, PF
4161000,2020,Mikal Bridges, SF
4160000,2020,Alex Len, C
4102564,2020,Nicolo Melli, PF
4033440,2020,Cameron Johnson, SF
4028400,2020,Malik Monk, SG
4000000,2020,Patrick McCaw, SF
4000000,2020,Reggie Bullock, SF
4000000,2020,JaVale McGee, C
4000000,2020,Dorian Finney-Smith, SF
3952920,2020,Shai Gilgeous-Alexander, SG
3831840,2020,PJ Washington, PF
3827160,2020,Luke Kennard, SG
3755400,2020,Miles Bridges, SF
3754886,2020,Jakob Poeltl, C
3640200,2020,Tyler Herro, SG
3635760,2020,Donovan Mitchell, SG
3623000,2020,Stanley Johnson, SF
3581986,2020,Jake Layman, SF
3569643,2020,Thon Maker, C
3567720,2020,Jerome Robinson, SG
3551000,2020,Allonzo Trier, G
3540000,2020,Danuel House Jr., SF
3529555,2020,Domantas Sabonis, PF
3500000,2020,Michael Beasley, F
3500000,2020,DeMarcus Cousins, C
3500000,2020,T.J. McConnell, PG
3500000,2020,Boban Marjanovic, C
3481986,2020,Dario Saric, PF
3481986,2020,Taurean Prince, PF
3458400,2020,Romeo Langford, SG
3454080,2020,Bam Adebayo, PF
3389400,2020,Michael Porter Jr., PF
3377569,2020,Denzel Valentine, SG
3321030,2020,Juan Hernangomez, PF
3285120,2020,Sekou Doumbouya, SF
3280920,2020,Justin Jackson, SF
3219480,2020,Troy Brown Jr., SF
3150000,2020,Yogi Ferrell, PG
3058800,2020,Zhaire Smith, SG
3000000,2020,Khem Birch, PF
3000000,2020,Quinn Cook, PG
3000000,2020,Ryan Arcidiacono, PG
2964840,2020,Nickeil Alexander-Walker, SG
2961120,2020,D.J. Wilson, PF
2907143,2020,Cedi Osman, SF
2905800,2020,Donte DiVincenzo, SG
2875000,2020,Bryn Forbes, SG
2816760,2020,Goga Bitadze, C
2813280,2020,T.J. Leaf, PF
2750000,2020,Alex Caruso, SG
2731714,2020,Malik Beasley, SG
2689920,2020,Luka Samanic, PF
2689920,2020,Lonnie Walker IV, SG
2686560,2020,John Collins, PF
2636280,2020,Kevin Huerter, SG
2625718,2020,Caris LeVert, SG
2625000,2020,Marko Guduric, SG
2603982,2020,DeAndre' Bembry, SG
2582160,2020,Matisse Thybulle, SG
2578800,2020,Harry Giles III, C
2564753,2020,Wesley Matthews, SG
2564753,2020,Rajon Rondo, PG
2564753,2020,Nene Hilario, C
2530680,2020,Josh Okogie, SF
2505793,2020,Vincent Poirier, C
2500000,2020,Rondae Hollis-Jefferson, SF
2500000,2020,Manu Ginobili, G
2478840,2020,Brandon Clarke, SF
2475840,2020,Terrance Ferguson, SF
2445085,2020,Emeka Okafor, C
2445085,2020,Kendrick Perkins, C
2429400,2020,Grayson Allen, SG
2379840,2020,Grant Williams, PF
2376840,2020,Jarrett Allen, C
2351839,2020,Pascal Siakam, PF
2338847,2020,Skal Labissiere, PF
2332320,2020,Chandler Hutchison, SF
2329200,2020,Aaron Holiday, PG
2321735,2020,Dejounte Murray, PG
2305057,2020,Damian Jones, C
2284800,2020,Darius Bazley, SF
2281800,2020,OG Anunoby, SF
2281800,2020,Ante Zizic, C
2250000,2020,Luke Kornet, C
2222803,2020,Brandon Jennings, G
2193480,2020,Ty Jerome, SG
2177483,2020,Willie Cauley-Stein, C
2149560,2020,Anfernee Simons, SG
2147317,2020,Austin Rivers, PG
2105520,2020,Nassir Little, SF
2063520,2020,Moritz Wagner, SF
2054856,2020,Sean Kilpatrick, G
2035800,2020,Dylan Windler, SG
2033160,2020,Caleb Swanigan, PF
2028594,2020,Mike Muscala, PF
2028594,2020,Ben McLemore, SF
2000000,2020,Edmond Sumner, PG
2000000,2020,Noah Vonleh, PF
2000000,2020,Torrey Craig, SF
1995120,2020,Landry Shamet, SG
1977000,2020,Mfiondu Kabengele, PF
1974600,2020,Kyle Kuzma, PF
1964760,2020,Jordan Poole, SG
1962360,2020,Tony Bradley, C
1950600,2020,Keldon Johnson, SF
1948080,2020,Derrick White, PG
1937520,2020,Robert Williams III, C
1925880,2020,Jacob Evans, SG
1911600,2020,Dzanan Musa, SG
1897800,2020,Omari Spellman, PF
1882867,2020,James Ennis III, SF
1845301,2020,Shabazz Napier, PG
1845301,2020,Bruno Caboclo, SF
1795015,2020,DeAndre Liggins, G
1750000,2020,Markieff Morris, PF
1737145,2020,Mario Hezonja, SF
1737145,2020,Cameron Payne, PG
1723050,2020,Pat Connaughton, SG
1702486,2020,Jahlil Okafor, C
1699236,2020,Rodions Kurucs, SF
1698450,2020,Jonah Bolden, PF
1678854,2020,Cheick Diallo, PF
1678854,2020,Dragan Bender, F
1676735,2020,Willy Hernangomez, C
1656092,2020,Julyan Stone, G
1656092,2020,MarShon Brooks, G
1655160,2020,Josh Hart, SF
1645357,2020,Georges Niang, SF
1645357,2020,Derrick Jones Jr., SF
1645357,2020,Christian Wood, PF
1645357,2020,Jordan McRae, SG
1645357,2020,Treveon Graham, SG
1620564,2020,Isaiah Taylor, G
1620564,2020,Emmanuel Mudiay, PG
1620564,2020,Nerlens Noel, C
1620564,2020,Tyler Lydon, F
1620564,2020,Furkan Korkmaz, SG
1620564,2020,Glenn Robinson III, SF
1620564,2020,Raul Neto, PG
1620564,2020,Kyle O'Quinn, C
1620564,2020,Alec Burks, SG
1620564,2020,Michael Carter-Williams, PG
1620564,2020,Wilson Chandler, SF
1620564,2020,Kyle Korver, SG
1620564,2020,Udonis Haslem, PF
1620564,2020,Jared Dudley, SF
1620564,2020,Dwight Howard, C
1620564,2020,Isaiah Thomas, PG
1620564,2020,Patrick Patterson, PF
1620564,2020,JaKarr Sampson, SF
1620564,2020,Ryan Anderson, PF
1620564,2020,Thabo Sefolosha, SF
1620564,2020,Tyson Chandler, C
1620564,2020,Justin Patton, C
1620564,2020,Tim Frazier, PG
1620564,2020,Joe Johnson, G
1620564,2020,Gerald Green, SG
1620564,2020,Trey Burke, PG
1620564,2020,J.J. Barea, PG
1620564,2020,Jarell Martin, F
1620564,2020,Jordan Bell, PF
1620564,2020,Shaquille Harrison, PG
1620564,2020,Vince Carter, G
1618520,2020,Dwayne Bacon, SG
1618520,2020,Dillon Brooks, SG
1618520,2020,Royce O'Neale, SF
1618520,2020,Abdel Nader, SF
1618520,2020,Damyean Dotson, SG
1618520,2020,Sterling Brown, SG
1618520,2020,Frank Jackson, PG
1618520,2020,Semi Ojeleye, PF
1618420,2020,Wes Iwundu, SF
1600520,2020,Dwight Buycks, G
1599712,2020,Mitchell Robinson, C
1588231,2020,Chris Boucher, PF
1588231,2020,Malcolm Miller, SG
1588231,2020,Monte Morris, PG
1588231,2020,Antonio Blakeney, G
1588231,2020,Tyrone Wallace, SG
1569360,2020,Malachi Richardson, G
1544951,2020,Georgios Papagiannis, C
1544951,2020,Chinanu Onuaku, C
1544951,2020,Wade Baldwin IV, G
1544951,2020,Isaiah Whitehead, G
1544951,2020,Paul Zipser, F
1529007,2020,Amile Jefferson, PF
1512601,2020,Omri Casspi, F
1512601,2020,Lorenzo Brown, G
1512601,2020,Isaiah Canaan, G
1512601,2020,Dwyane Wade, G
1500000,2020,Nigel Williams-Goss, PG
1500000,2020,Isaiah Roby, SF
1500000,2020,Alfonzo McKinnie, SF
1455697,2020,Shake Milton, SG
1445697,2020,Wenyen Gabriel, PF
1445697,2020,Theo Pinson, SG
1445697,2020,Thanasis Antetokounmpo, SF
1445697,2020,Derrick Walton Jr., G
1445697,2020,Brad Wanamaker, PG
1419138,2020,Iman Shumpert, SG
1416852,2020,Devonte' Graham, PG
1416852,2020,De'Anthony Melton, SG
1416852,2020,Jemerrio Jones, F
1416852,2020,Hamidou Diallo, SG
1416852,2020,Deonte Burton, SG
1416852,2020,Chimezie Metu, PF
1416852,2020,Gary Trent Jr., SG
1416852,2020,Elie Okobo, SF
1416852,2020,Jevon Carter, PG
1416852,2020,Ryan Broekhoff, SG
1416852,2020,Melvin Frazier Jr., SG
1416852,2020,Jarred Vanderbilt, PF
1416852,2020,Duncan Robinson, SG
1416852,2020,Kendrick Nunn, SG
1416852,2020,Alize Johnson, PF
1416852,2020,Isaiah Hartenstein, F
1416852,2020,Bruce Brown, SG
1416852,2020,Khyri Thomas, SG
1416852,2020,Sviatoslav Mykhailiuk, SG
1416852,2020,Keita Bates-Diop, SF
1416852,2020,Jalen Brunson, PG
1416852,2020,Kenrich Williams, SF
1416852,2020,Dairis Bertans, G
1416852,2020,Yante Maten, F
1416842,2020,Isaac Bonga, SF
1416842,2020,Tarik Phillip, G
1400000,2020,Jaylen Nowell, SG
1400000,2020,Bruno Fernando, C
1378242,2020,Dakari Johnson, C
1378242,2020,Kyle Collinsworth, G
1378242,2020,Brandon Paul, G
1378242,2020,Jaylen Morris, G
1378242,2020,Rodney Purvis, G
1378242,2020,David Stockton, G
1378242,2020,Ike Anigbogu, C
1378242,2020,Zhou Qi, C
1378242,2020,Aaron Jackson, F
1364204,2020,Carmelo Anthony, PF
1349464,2020,Jabari Bird, G
1349383,2020,Ben Moore, F
1349383,2020,James Nunnally, G
1290960,2020,Kevin Porter Jr., SG
1228026,2020,Carsen Edwards, PG
1187862,2020,Okaro White, F
1173310,2020,Cody Martin, SF
1052909,2020,Gary Payton II, PG
1042584,2020,Nick Young, G
1000000,2020,Admiral Schofield, SG
1000000,2020,Terance Mann, SG
948580,2020,Ron Baker, G
903111,2020,David Nwaba, SG
898310,2020,Jalen McDaniels, PF
898310,2020,Caleb Martin, SF
898310,2020,Dewan Hernandez, C
898310,2020,Terence Davis, SG
898310,2020,Matt Thomas, SG
898310,2020,Justin Robinson, PG
898310,2020,Miye Oni, SG
898310,2020,Stanton Kidd, SF
898310,2020,Justin James, SG
898310,2020,Jalen Lecque, PG
898310,2020,Ignas Brazdeikis, SF
898310,2020,Nicolas Claxton, PF
898310,2020,Naz Reid, C
898310,2020,KZ Okpala, SF
898310,2020,Talen Horton-Tucker, SG
898310,2020,Alen Smailagic, PF
898310,2020,Eric Paschall, PF
898310,2020,Vlatko Cancar, SF
898310,2020,Daniel Gafford, PF
898310,2020,Max Strus, SG
898310,2020,Javonte Green, SG
842327,2020,Damion Lee, SG
838464,2020,Isaiah Briscoe, G
746054,2020,Juwan Morgan, SF
654469,2020,Timothe Luwawu-Cabarrot, SG
654469,2020,Marquese Chriss, C
604278,2020,Marvin Williams, F
595122,2020,Michael Kidd-Gilchrist, SF
578573,2020,Rayjon Tucker, SG
563347,2020,Chris Clemons, PG
555409,2020,Gary Clark, PF
522738,2020,Brandon Goodwin, PG
512721,2020,Reggie Jackson, PG
512721,2020,DeMarre Carroll, SF
482144,2020,Anzejs Pasecniks, C
466918,2020,Chris Silva, PF
439475,2020,Jeff Green, PF
384541,2020,Troy Daniels, SG
375385,2020,Dion Waiters, SG
350189,2020,Norvel Pelle, SF
350189,2020,Juan Toscano-Anderson, SF
350189,2020,Ky Bowman, PG
245686,2020,Tyler Zeller, C
208509,2020,Jimmer Fredette, G
197933,2020,Jontay Porter, PF
183115,2020,Anthony Tolliver, PF
183115,2020,Tyler Johnson, SG
155647,2020,Luguentz Dort, SG
37457154,2019,Stephen Curry, PG
35654150,2019,Chris Paul, PG
35654150,2019,LeBron James, SF
35654150,2019,Russell Westbrook, PG
32088932,2019,Blake Griffin, PF
31214295,2019,Gordon Hayward, SF
31200000,2019,Kyle Lowry, PG
30560700,2019,Paul George, SG
30521115,2019,Mike Conley, PG
30421854,2019,James Harden, SG
30000000,2019,Kevin Durant, SF
29230769,2019,Paul Millsap, PF
28928709,2019,Al Horford, PF
27977689,2019,Damian Lillard, PG
27739975,2019,DeMar DeRozan, SF
26011913,2019,Otto Porter Jr., SF
25976111,2019,Jrue Holiday, SG
25759766,2019,CJ McCollum, SG
25467250,2019,Joel Embiid, C
25467250,2019,Andrew Wiggins, SF
25434263,2019,Bradley Beal, SG
25434263,2019,Anthony Davis, PF
25434263,2019,Andre Drummond, C
