Player ID,First Name,Last Name,Team,Jersey,Position Category,Position,Height,Weight,Birth Date,Birth City,Birth State,Birth Country,College,Salary,Photo Url,Experience
20000441,Bradley,Beal,WAS,3.0,G,SG,75,207,1993-06-28T00:00:00,St. Louis,Missouri,,Florida,27093019.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,6
20000442,John,Wall,WAS,2.0,G,PG,76,210,1990-09-06T00:00:00,Raleigh,North Carolina,,Kentucky,38199000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,8
20000443,Otto,Porter,CHI,22.0,F,SF,80,198,1993-06-03T00:00:00,St. Louis,Missouri,,Georgetown,27250575.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,5
20000452,Garrett,Temple,BKN,17.0,G,SG,77,195,1986-05-08T00:00:00,Baton Rouge,Louisiana,,LSU,4767000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,8
20000453,Terrence,Ross,ORL,31.0,G,SG,78,206,1991-02-05T00:00:00,Portland,Oregon,Oregon,Washington,12500000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,6
20000455,Jonas,Valanciunas,MEM,17.0,C,C,83,265,1992-05-06T00:00:00,Utena,Lithuania,,,16000000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,6
20000456,DeMar,DeRozan,SA,10.0,G,SG,78,220,1989-08-07T00:00:00,Compton,California,,USC,27739975.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,9
20000457,Kyle,Lowry,TOR,7.0,G,PG,72,196,1986-03-25T00:00:00,Philadelphia,Pennsylvania,,Villanova,34996296.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,12
20000459,Lou,Williams,LAC,23.0,G,SG,73,175,1986-10-27T00:00:00,Memphis,Tennessee,,,8000000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png,13
20000460,Patrick,Patterson,LAC,54.0,F,PF,80,235,1989-03-14T00:00:00,Washington,District of Columbia,,Kentucky,1620564.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000460.png,8
20000464,James,Johnson,MIN,16.0,F,PF,79,240,1987-02-20T00:00:00,Cheyenne,Wyoming,,Wake Forest,15349400.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000464.png,9
20000466,Bruno,Caboclo,HOU,5.0,F,SF,81,218,1995-09-21T00:00:00,Osasco,Brazil,,,1845301.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000466.png,4
20000468,Anthony,Davis,LAL,3.0,F,PF,82,253,1993-03-11T00:00:00,Chicago,Illinois,,Kentucky,27093018.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000468.png,6
