PLAYER_NAME,POSITION
Stephen Curry, PG
Chris Paul, PG
Russell Westbrook, PG
John Wall, PG
Kevin Durant, SF
James Harden, SG
LeBron James, SF
Kyle Lowry, PG
Blake Griffin, PF
Tobias Harris, SF
Jimmy Butler, SF
Kawhi Leonard, SF
Klay Thompson, SG
Kemba Walker, PG
Gordon Hayward, SF
Mike Conley, PG
Kyrie Irving, PG
Khris Middleton, SF
Paul George, SG
Paul Millsap, PF
Damian Lillard, PG
Kevin Love, PF
Al Horford, PF
Nikola Vucevic, C
DeMar DeRozan, SF
CJ McCollum, SG
Joel Embiid, C
Andrew Wiggins, SF
Nikola Jokic, C
Devin Booker, SG
D'Angelo Russell, SG
Karl-Anthony Towns, C
Kristaps Porzingis, PF
Otto Porter Jr., SF
Bradley Beal, SG
Andre Drummond, C
Anthony Davis, PF
Hassan Whiteside, C
Jrue Holiday, SG
LaMarcus Aldridge, PF
Steven Adams, C
Giannis Antetokounmpo, PF
Marc Gasol, C
Nicolas Batum, SG
Chandler Parsons, SF
Harrison Barnes, SF
Serge Ibaka, C
Rudy Gobert, C
Danilo Gallinari, PF
Victor Oladipo, SG
Tim Hardaway Jr., SG
Malcolm Brogdon, PG
Terry Rozier, PG
Aaron Gordon, PF
Zach LaVine, PG
Kent Bazemore, SG
Goran Dragic, PG
Jeff Teague, PG
Evan Turner, SG
Draymond Green, PF
Tristan Thompson, C
Allen Crabbe, G
Julius Randle, PF
Myles Turner, C
Gary Harris, SG
Derrick Favors, C
Andre Iguodala, SG
Evan Fournier, SG
Bismack Biyombo, C
Bojan Bogdanovic, SF
Timofey Mozgov, C
Gorgui Dieng, C
Ricky Rubio, PG
Jonas Valanciunas, C
JR Smith, SG
Brandon Knight, PG
Kelly Oubre Jr., SF
Eric Bledsoe, PG
Dennis Schroder, PG
Ian Mahinmi, C
James Johnson, PF
Bobby Portis, PF
Marcus Morris Sr., SF
Clint Capela, C
Luke Babbitt, F
Danny Green, SG
Rudy Gay, SF
Cody Zeller, C
Eric Gordon, SG
Mason Plumlee, PF
Marcin Gortat, C
JJ Redick, SG
Jordan Clarkson, PG
Dewayne Dedmon, C
Jusuf Nurkic, C
Justise Winslow, SF
Thaddeus Young, PF
Will Barton, SF
Courtney Lee, SG
Solomon Hill, SF
Larry Nance Jr., PF
Kelly Olynyk, PF
Marcus Smart, PG
Miles Plumlee, C
Terrence Ross, SG
Nikola Mirotic, F
Patty Mills, PG
Tyreke Evans, G
Patrick Beverley, PG
Trevor Ariza, SF
Brook Lopez, C
Cory Joseph, PG
Joe Ingles, SG
Zach Randolph, F
Tony Snell, SF
Robert Covington, PF
Meyers Leonard, C
Omer Asik, C
Maurice Harkless, SF
T.J. Warren, SF
Andre Roberson, SG
Spencer Dinwiddie, PG
Jeremy Lamb, SG
Dwight Powell, C
Norman Powell, SG
Josh Richardson, SG
