Year,Avg. Pace,Player,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Selected?,Rank,Team,Position,Salary,Inflation,row_max
2000,91.3,Jerry Stackhouse,DET,10,39,41,14,30.1,3.7,5.0,1.3,0.7,4.0,53.7,1.6,0.002,35.1,15.7,1,1,1,54,Detroit Pistons, SF,4781000,6971791,6971791
2000,91.3,Kobe Bryant,LAL,3,39,39,26,29.6,5.4,4.7,1.8,0.6,3.1,55.8,1.2,0.002,31.2,16.0,2,1,1,19,Los Angeles Lakers, SF,9000000,13124059,13124059
2000,91.3,Vince Carter,TOR,6,36,41,21,28.5,5.6,3.9,1.7,1.0,2.2,55.2,2.3,0.003,30.3,15.5,1,1,1,100,Toronto Raptors, G,2267000,3305804,3305804
2000,91.3,Allen Iverson,PHI,1,38,40,28,28.5,4.0,4.7,2.3,0.3,3.2,52.1,1.1,0.005,32.4,15.7,1,1,1,15,Philadelphia 76ers, SG,9000000,13124059,13124059
2000,91.3,Shaquille O'Neal,LAL,3,37,39,25,26.8,13.0,3.8,0.6,2.9,2.8,54.4,0.0,0.002,30.6,16.9,7,1,1,1,Los Angeles Lakers, C,17142000,24996958,24996958
2000,91.3,Stephon Marbury,NJN,13,37,41,13,24.4,3.1,6.7,1.2,0.1,2.9,55.5,1.6,0.002,29.3,15.9,0,0,1,20,New Jersey Nets, PG,9000000,13124059,13124059
2000,91.3,Gary Payton,SEA,10,42,43,22,23.0,5.0,8.7,1.6,0.3,2.7,50.7,1.1,0.001,26.4,14.9,6,1,1,8,Seattle SuperSonics, PG,11020000,16069681,16069681
2000,91.3,Karl Malone,UTA,4,38,39,24,22.9,9.0,4.4,1.1,0.9,3.1,54.2,0.0,0.002,28.8,16.7,12,1,1,6,Utah Jazz, PF,14000000,20415203,20415203
2000,91.3,Kevin Garnett,MIN,9,42,42,24,22.7,10.5,4.6,1.3,1.5,2.9,52.5,0.2,0.002,27.8,16.5,3,1,1,2,Minnesota Timberwolves, PF,16806000,24506993,24506993
2000,91.3,Glenn Robinson,MIL,3,38,40,25,22.4,7.4,3.6,1.1,1.1,2.9,53.3,0.6,0.002,28.2,14.3,1,1,1,28,Milwaukee Bucks, SF,7250000,10572158,10572158
